Away Team,Home Team,Actual Winner,Winner
Saints,Buccaneers,Saints,1
Giants,Jaguars,Giants,1
Chiefs,Bills,Bills,0
Ravens,Bills,Bills,0
Ravens,Browns,Browns,0
Seahawks,Redskins,Redskins,0
Chiefs,Chargers,Chiefs,1
Seahawks,Broncos,Seahawks,1
Saints,Packers,Packers,0
Bills,Browns,Bills,1
Ravens,Titans,Titans,0
Redskins,Cardinals,Cardinals,0
Cowboys,Panthers,Panthers,0
Packers,Bears,Packers,1
Packers,Bills,Packers,1
Jets,Lions,Lions,0
Saints,Bears,Saints,1
Browns,Steelers,Steelers,0
Rams,Raiders,Rams,1
Ravens,Bengals,Ravens,1
Chargers,Bills,Bills,0
Packers,Vikings,Packers,1
Titans,Texans,Texans,0
Eagles,Rams,Rams,0
Broncos,Steelers,Steelers,0
Giants,Cowboys,Cowboys,0
Bears,Packers,Bears,1
Panthers,Buccaneers,Buccaneers,0
Bills,Patriots,Bills,1
Redskins,Cardinals,Redskins,1